@relation iris-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Standardize

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,1.028611,-1.336794,-1.308593,Iris-setosa
-1.1392,-0.12454,-1.336794,-1.308593,Iris-setosa
-1.380727,0.33672,-1.39347,-1.308593,Iris-setosa
-1.50149,0.10609,-1.280118,-1.308593,Iris-setosa
-1.018437,1.259242,-1.336794,-1.308593,Iris-setosa
-0.535384,1.951133,-1.166767,-1.046525,Iris-setosa
-1.50149,0.797981,-1.336794,-1.177559,Iris-setosa
-1.018437,0.797981,-1.280118,-1.308593,Iris-setosa
-1.743017,-0.355171,-1.336794,-1.308593,Iris-setosa
-1.1392,0.10609,-1.280118,-1.439627,Iris-setosa
-0.535384,1.489872,-1.280118,-1.308593,Iris-setosa
-1.259964,0.797981,-1.223442,-1.308593,Iris-setosa
-1.259964,-0.12454,-1.336794,-1.439627,Iris-setosa
-1.86378,-0.12454,-1.506822,-1.439627,Iris-setosa
-0.052331,2.181763,-1.450146,-1.308593,Iris-setosa
-0.173094,3.104284,-1.280118,-1.046525,Iris-setosa
-0.535384,1.951133,-1.39347,-1.046525,Iris-setosa
-0.897674,1.028611,-1.336794,-1.177559,Iris-setosa
-0.173094,1.720502,-1.166767,-1.177559,Iris-setosa
-0.897674,1.720502,-1.280118,-1.177559,Iris-setosa
-0.535384,0.797981,-1.166767,-1.308593,Iris-setosa
-0.897674,1.489872,-1.280118,-1.046525,Iris-setosa
-1.50149,1.259242,-1.563497,-1.308593,Iris-setosa
-0.897674,0.567351,-1.166767,-0.915491,Iris-setosa
-1.259964,0.797981,-1.053415,-1.308593,Iris-setosa
-1.018437,-0.12454,-1.223442,-1.308593,Iris-setosa
-1.018437,0.797981,-1.223442,-1.046525,Iris-setosa
-0.776911,1.028611,-1.280118,-1.308593,Iris-setosa
-0.776911,0.797981,-1.336794,-1.308593,Iris-setosa
-1.380727,0.33672,-1.223442,-1.308593,Iris-setosa
-1.259964,0.10609,-1.223442,-1.308593,Iris-setosa
